,,,,,a,b,c = d / (1 - d),d,e = d / (1 + a),"f = e x 4,5%",g = d x 0%,h,i = -b,j = e + f + g + h + i,k = j / e,,,,,,,,,,,,,,,,,,,,,,,
T/C:,"1,500.00",,,,,,,PRECIO PROMO,POR UNIDAD,,,,,,,,MARGEN NEGOCIO,,,,,,,,,,,,,,,,,,,,,
,,,,SIN IVA,,SIN IVA,,25.00%,,4.50%,,,,,,,"1,587","17,122,767","1,370,090",8.0%,,,,,,,,,,,,,,,,,,
COD. UNPO,DESCRIPCION,CATEGORIA,KG,COTO UNIT TOTAL USD,%IVA,COTO UNIT AR$,% DESC.ADIC.,PRECIO 25% MENOR A LISTA MELI CON IVA,PRECIO SIN IVA,IIBB,COMISION,,COTO UNIT AR$,MARGEN AR$,%MARGEN,,UNIDADES,FACT AR$,MARGEN,%,,,,,,,,,,,,,,,,,ORIGEN,FAMILIA
020600045,HUMIDIFICADOR MOON 120 ML,HOGAR,0.50,8.54,21.0%,"12,805.79",15%,"17,850.00","14,752.07",(663.84),0.00,,"(12,805.79)","1,282",8.7%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
020600046,HUMIDIFICADOR FLASH GLASS 120 ML,HOGAR,0.79,11.06,21.0%,"16,585.43",20%,"23,700.00","19,586.78",(881.40),0.00,,"(16,585.43)","2,120",10.8%,,1,"19,586.78","2,120",10.8%,,,,,,,,,,,,,,,,,,
020600047,HUMIDIFICADOR STATIC LICHT GLASS 200 ML,HOGAR,0.79,11.48,21.0%,"17,214.17",20%,"25,200.00","20,826.45",(937.19),0.00,,"(17,214.17)","2,675",12.8%,,2,"41,652.89","5,350",12.8%,,,,,,,,,,,,,,,,,,
020600048,HUMIDIFICADOR BUBBLE MADERA CLARO 130 ML,HOGAR,0.19,2.17,21.0%,"3,260.90",30%,"4,620.00","3,818.18",(171.82),0.00,,"(3,260.90)",385,10.1%,,227,"866,727.27","87,500",10.1%,,,,,,,,,,,,,,,,,,
020600049,HUMIDIFICADOR VOLCANO 300 ML,HOGAR,0.36,10.28,21.0%,"15,421.43",25%,"20,250.00","16,735.54",(753.10),0.00,,"(15,421.43)",561,3.4%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
020600050,HUMIDIFICADOR JUPITER 120 ML,HOGAR,0.76,11.14,21.0%,"16,706.94",18%,"23,370.00","19,314.05",(869.13),0.00,,"(16,706.94)","1,738",9.0%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
020700051,PROYECTOR INHALAMBRICO,TECNOLOGIA,0.61,46.70,21.0%,"70,044.31",,"90,000.00","74,380.17","(3,347.11)",0.00,,"(70,044.31)",989,1.3%,,21,"1,561,983.47","20,764",1.3%,,,,,,,,,,,,,,,,,,
020300052,JABONERA AUTOMATICA NEGRA,HOGAR,0.22,2.18,21.0%,"3,264.55",40%,"4,410.00","3,644.63",(164.01),0.00,,"(3,264.55)",216,5.9%,,170,"619,586.78","36,732",5.9%,,,,,,,,,,,,,,,,,,
020300053,JABONERA AUTOMATICA BLANCO,HOGAR,0.22,2.18,21.0%,"3,264.55",40%,"4,410.00","3,644.63",(164.01),0.00,,"(3,264.55)",216,5.9%,,158,"575,851.24","34,139",5.9%,,,,,,,,,,,,,,,,,,
020600054,"PIZARRA LED BASE NEGRA 12,3 x 17,4 x 7 CM",DECORACION,0.21,3.83,21.0%,"5,745.40",30%,"8,137.50","6,725.21",(302.63),0.00,,"(5,745.40)",677,10.1%,,29,"195,030.99","19,638",10.1%,,,,,,,,,,,,,,,,,,
020600055,"PIZARRA LED BASE GRIS 12,3 x 17,4 x 7 CM",DECORACION,0.21,4.28,21.0%,"6,424.01",25%,"8,718.75","7,205.58",(324.25),0.00,,"(6,424.01)",457,6.3%,,18,"129,700.41","8,232",6.3%,,,,,,,,,,,,,,,,,,
020600056,"PIZARRA LED BASE BLANCA 12,3 x 17,4 x 7 CM",DECORACION,0.21,3.83,21.0%,"5,745.40",25%,"8,718.75","7,205.58",(324.25),0.00,,"(5,745.40)","1,136",15.8%,,1,"7,205.58","1,136",15.8%,,,,,,,,,,,,,,,,,,
020600057,"PIZARRA LED BASE MADERA CLARA 12,3 x 17,4 x 7 CM",DECORACION,0.21,4.39,21.0%,"6,583.68",25%,"9,843.75","8,135.33",(366.09),0.00,,"(6,583.68)","1,186",14.6%,,39,"317,277.89","46,237",14.6%,,,,,,,,,,,,,,,,,,
020800058,PELUCHE OSO ROSA,JUGUETE,0.28,9.29,21.0%,"13,931.66",30%,"20,737.50","17,138.43",(771.23),0.00,,"(13,931.66)","2,436",14.2%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
020800059,PELUCHE OSO MARRON,JUGUETE,0.28,9.29,21.0%,"13,931.66",30%,"20,737.50","17,138.43",(771.23),0.00,,"(13,931.66)","2,436",14.2%,,8,"137,107.44","19,484",14.2%,,,,,,,,,,,,,,,,,,
020800060,PELUCHE OSO CELESTE,JUGUETE,0.28,9.29,21.0%,"13,931.66",30%,"20,737.50","17,138.43",(771.23),0.00,,"(13,931.66)","2,436",14.2%,,5,"85,692.15","12,178",14.2%,,,,,,,,,,,,,,,,,,
020800061,PELUCHE ELEFANTE GRIS,JUGUETE,0.28,9.29,21.0%,"13,931.66",30%,"20,737.50","17,138.43",(771.23),0.00,,"(13,931.66)","2,436",14.2%,,1,"17,138.43","2,436",14.2%,,,,,,,,,,,,,,,,,,
020800062,PELUCHE CONEJO BLANCO,JUGUETE,0.28,9.29,21.0%,"13,931.66",30%,"20,737.50","17,138.43",(771.23),0.00,,"(13,931.66)","2,436",14.2%,,16,"274,214.88","38,969",14.2%,,,,,,,,,,,,,,,,,,
020800063,PELUCHE KOALA NARIZ MARRON,JUGUETE,0.28,9.29,21.0%,"13,931.66",30%,"20,737.50","17,138.43",(771.23),0.00,,"(13,931.66)","2,436",14.2%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
020800064,PELUCHE KOALA NARIZ NEGRA,JUGUETE,0.28,9.29,21.0%,"13,931.66",30%,"20,737.50","17,138.43",(771.23),0.00,,"(13,931.66)","2,436",14.2%,,1,"17,138.43","2,436",14.2%,,,,,,,,,,,,,,,,,,
020600065,ORGANIZADOR 16 COMPARTIMENTOS COLOR CRUDO,HOGAR,0.12,2.17,21.0%,"3,248.51",15%,"4,972.50","4,109.50",(184.93),0.00,,"(3,248.51)",676,16.5%,,83,"341,088.84","56,113",16.5%,,,,,,,,,,,,,,,,,,
020600066,ORGANIZADOR 6 COMPARTIMENTOS COLOR CRUDO,HOGAR,0.12,1.85,21.0%,"2,777.89",20%,"4,489.05","3,709.96",(166.95),0.00,,"(2,777.89)",765,20.6%,,71,"263,407.04","54,323",20.6%,,,,,,,,,,,,,,,,,,
020600067,ORGANIZADOR SET 3 PIEZAS,HOGAR,0.10,2.79,21.0%,"4,189.74",20%,"5,880.00","4,859.50",(218.68),0.00,,"(4,189.74)",451,9.3%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010300068,SET UTENSILIOS COCINA SILICONA NEGRO,BAZAR,0.00,8.80,21.0%,"13,200.00",20%,"19,200.00","15,867.77",(714.05),0.00,,"(13,200.00)","1,954",12.3%,,126,"1,999,338.84","246,169",12.3%,,,,,,,,,,,,,,,,,,
010300069,SET UTENSILIOS COCINA SILICONA ROJO,BAZAR,0.00,8.80,21.0%,"13,200.00",20%,"19,200.00","15,867.77",(714.05),0.00,,"(13,200.00)","1,954",12.3%,,8,"126,942.15","15,630",12.3%,,,,,,,,,,,,,,,,,,
010300070,SET UTENSILIOS COCINA SILICONA VERDE,BAZAR,0.00,8.80,21.0%,"13,200.00",20%,"19,200.00","15,867.77",(714.05),0.00,,"(13,200.00)","1,954",12.3%,,13,"206,280.99","25,398",12.3%,,,,,,,,,,,,,,,,,,
010300071,SET UTENSILIOS COCINA SILICONA BLANCO,BAZAR,0.00,8.80,21.0%,"13,200.00",20%,"19,200.00","15,867.77",(714.05),0.00,,"(13,200.00)","1,954",12.3%,,110,"1,745,454.55","214,909",12.3%,,,,,,,,,,,,,,,,,,
010700072,LAMPARA  ASTRONAUTA GALAXIA CHICA,TECNOLOGIA,0.00,18.00,21.0%,"27,000.00",6%,"36,096.00","29,831.40","(1,342.41)",0.00,,"(27,000.00)","1,489",5.0%,,48,"1,431,907.44","71,472",5.0%,,,,,,,,,,,,,,,,,,
010700073,LAMPARA  ASTRONAUTA GALAXIA MEDIANA ,TECNOLOGIA,0.00,18.00,21.0%,"27,000.00",10%,"34,560.00","28,561.98","(1,285.29)",0.00,,"(27,000.00)",277,1.0%,,22,"628,363.64","6,087",1.0%,,,,,,,,,,,,,,,,,,
010300074,LAMPARA  ASTRONAUTA GALAXIA GRANDE ,TECNOLOGIA,0.00,18.00,21.0%,"27,000.00",10%,"34,560.00","28,561.98","(1,285.29)",0.00,,"(27,000.00)",277,1.0%,,14,"399,867.77","3,874",1.0%,,,,,,,,,,,,,,,,,,
010700075,CUBETERA DOS PISOS SISTEMA BOTON,BAZAR,0.00,8.85,21.0%,"13,275.00",29%,"18,105.00","14,962.81",(673.33),0.00,,"(13,275.00)","1,014",6.8%,,70,"1,047,396.69","71,014",6.8%,,,,,,,,,,,,,,,,,,
010700076,LUZ TACTIL USB ,TECNOLOGIA,0.00,11.65,21.0%,"17,475.00",10%,"23,625.00","19,524.79",(878.62),0.00,,"(17,475.00)","1,171",6.0%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010700077,LUZ CUADRADA CIELO,TECNOLOGIA,0.00,10.00,21.0%,"15,000.00",20%,"19,920.00","16,462.81",(740.83),0.00,,"(15,000.00)",722,4.4%,,98,"1,613,355.37","70,754",4.4%,,,,,,,,,,,,,,,,,,
010900078,SET ALIMENTACION COMIDA BEBE SILICONA PLATO VASO BOWL BABERO ROSA BEBE,BAZAR,0.00,15.00,21.0%,"22,500.00",10%,"28,890.00","23,876.03","(1,074.42)",0.00,,"(22,500.00)",302,1.3%,,0,0.00,0,#¡DIV/0!,,,,,,,,,,,,,,,,,,
010900079,SET ALIMENTACION COMIDA BEBE SILICONA PLATO VASO BOWL BABERO VERDE BEBE,BAZAR,0.00,15.00,21.0%,"22,500.00",10%,"28,890.00","23,876.03","(1,074.42)",0.00,,"(22,500.00)",302,1.3%,,3,"71,628.10",905,1.3%,,,,,,,,,,,,,,,,,,
010900080,SET ALIMENTACION COMIDA BEBE SILICONA PLATO VASO BOWL BABERO CELESTE  BEBE,BAZAR,0.00,15.00,21.0%,"22,500.00",10%,"28,890.00","23,876.03","(1,074.42)",0.00,,"(22,500.00)",302,1.3%,,3,"71,628.10",905,1.3%,,,,,,,,,,,,,,,,,,
